"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","EDUCATIONLEVEL","Display Value","Numeric","Low","High","Comments"
"RSUD_790","PUBLISHED","2014","EUR","MKD","TERTIARY","Yes","","","",""
"RSUD_790","PUBLISHED","2014","AFR","MLI","BACHELOR","No","","","",""
"RSUD_790","PUBLISHED","2014","AFR","MLI","MASTER","No","","","",""
"RSUD_790","PUBLISHED","2014","AFR","MLI","TERTIARY","No","","","",""
"RSUD_790","PUBLISHED","2014","AFR","MLI","DOCTORAL","No","","","",""
"RSUD_790","PUBLISHED","2014","EUR","MLT","BACHELOR","No","","","",""
"RSUD_790","PUBLISHED","2014","EUR","MLT","MASTER","No","","","",""
"RSUD_790","PUBLISHED","2014","EUR","MLT","TERTIARY","No","","","",""
"RSUD_790","PUBLISHED","2014","EUR","MLT","DOCTORAL","No","","","",""
"RSUD_790","PUBLISHED","2014","SEAR","MMR","TERTIARY","Yes","","","",""
"RSUD_790","PUBLISHED","2014","EUR","MNE","TERTIARY","Yes","","","",""
"RSUD_790","PUBLISHED","2014","WPR","MNG","BACHELOR","Yes","","","",""
"RSUD_790","PUBLISHED","2014","WPR","MNG","MASTER","Yes","","","",""
"RSUD_790","PUBLISHED","2014","WPR","MNG","TERTIARY","Yes","","","",""
"RSUD_790","PUBLISHED","2014","WPR","MNG","DOCTORAL","Yes","","","",""
"RSUD_790","PUBLISHED","2014","AFR","MOZ","BACHELOR","Yes","","","",""
"RSUD_790","PUBLISHED","2014","AFR","MOZ","TERTIARY","Yes","","","",""
"RSUD_790","PUBLISHED","2014","AFR","MRT","BACHELOR","Yes","","","",""
"RSUD_790","PUBLISHED","2014","AFR","MRT","MASTER","Yes","","","",""
"RSUD_790","PUBLISHED","2014","AFR","MRT","DOCTORAL","Yes","","","",""
"RSUD_790","PUBLISHED","2014","AFR","MUS","BACHELOR","No","","","",""
"RSUD_790","PUBLISHED","2014","AFR","MUS","MASTER","No","","","",""
"RSUD_790","PUBLISHED","2014","AFR","MUS","TERTIARY","No","","","",""
"RSUD_790","PUBLISHED","2014","AFR","MUS","DOCTORAL","No","","","",""
"RSUD_790","PUBLISHED","2014","AFR","MWI","BACHELOR","Yes","","","",""
"RSUD_790","PUBLISHED","2014","AFR","MWI","TERTIARY","Yes","","","",""
"RSUD_790","PUBLISHED","2014","WPR","MYS","TERTIARY","Yes","","","",""
"RSUD_790","PUBLISHED","2014","AFR","NER","BACHELOR","No","","","",""
"RSUD_790","PUBLISHED","2014","AFR","NER","MASTER","No","","","",""
"RSUD_790","PUBLISHED","2014","AFR","NER","TERTIARY","No","","","",""
"RSUD_790","PUBLISHED","2014","AFR","NER","DOCTORAL","No","","","",""
"RSUD_790","PUBLISHED","2014","AFR","NGA","BACHELOR","No","","","",""
"RSUD_790","PUBLISHED","2014","AFR","NGA","MASTER","No","","","",""
"RSUD_790","PUBLISHED","2014","AFR","NGA","TERTIARY","No","","","",""
"RSUD_790","PUBLISHED","2014","AFR","NGA","DOCTORAL","No","","","",""
"RSUD_790","PUBLISHED","2014","EUR","NLD","BACHELOR","Yes","","","",""
"RSUD_790","PUBLISHED","2014","EUR","NLD","MASTER","Yes","","","",""
"RSUD_790","PUBLISHED","2014","EUR","NLD","TERTIARY","Yes","","","",""
"RSUD_790","PUBLISHED","2014","EUR","NLD","DOCTORAL","Yes","","","",""
"RSUD_790","PUBLISHED","2014","EUR","NOR","BACHELOR","Yes","","","",""
"RSUD_790","PUBLISHED","2014","EUR","NOR","MASTER","Yes","","","",""
"RSUD_790","PUBLISHED","2014","EUR","NOR","TERTIARY","Yes","","","",""
"RSUD_790","PUBLISHED","2014","EUR","NOR","DOCTORAL","Yes","","","",""
"RSUD_790","PUBLISHED","2014","SEAR","NPL","BACHELOR","No","","","",""
"RSUD_790","PUBLISHED","2014","SEAR","NPL","MASTER","No","","","",""
"RSUD_790","PUBLISHED","2014","SEAR","NPL","TERTIARY","No","","","",""
"RSUD_790","PUBLISHED","2014","SEAR","NPL","DOCTORAL","No","","","",""
"RSUD_790","PUBLISHED","2014","WPR","NZL","BACHELOR","Yes","","","",""
"RSUD_790","PUBLISHED","2014","WPR","NZL","MASTER","Yes","","","",""
"RSUD_790","PUBLISHED","2014","WPR","NZL","TERTIARY","Yes","","","",""
"RSUD_790","PUBLISHED","2014","WPR","NZL","DOCTORAL","Yes","","","",""
"RSUD_790","PUBLISHED","2014","EMR","PAK","TERTIARY","Yes","","","",""
"RSUD_790","PUBLISHED","2014","AMR","PAN","BACHELOR","Yes","","","",""
"RSUD_790","PUBLISHED","2014","AMR","PAN","MASTER","Yes","","","",""
"RSUD_790","PUBLISHED","2014","AMR","PAN","TERTIARY","Yes","","","",""
"RSUD_790","PUBLISHED","2014","AMR","PER","MASTER","Yes","","","",""
"RSUD_790","PUBLISHED","2014","WPR","PHL","DOCTORAL","Yes","","","",""
"RSUD_790","PUBLISHED","2014","WPR","PNG","BACHELOR","No","","","",""
"RSUD_790","PUBLISHED","2014","WPR","PNG","MASTER","No","","","",""
