"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","POLICYSECTOR","Display Value","Numeric","Low","High","Comments"
"SA_0000001694","PUBLISHED","2016","EUR","LVA","AGRICULTURE","No","","","",""
"SA_0000001694","PUBLISHED","2016","EUR","LTU","SOCIAL","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","EUR","MNE","FINANCE_TAXATION","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","EUR","SWE","SOCIAL","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","EUR","MNE","EDUCATION","No","","","",""
"SA_0000001694","PUBLISHED","2016","EUR","NOR","HEALTH_SECTOR","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","EUR","NOR","SOCIAL","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","EUR","POL","FINANCE_TAXATION","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","EUR","POL","LAW_ENFORCEMENT","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","EUR","PRT","OTHER_POLICY_SECTOR","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","EUR","MDA","HEALTH_SECTOR","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","EUR","ISR","AGRICULTURE","No","","","",""
"SA_0000001694","PUBLISHED","2016","EUR","ISR","OTHER_POLICY_SECTOR","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","EUR","KAZ","EDUCATION","No","","","",""
"SA_0000001694","PUBLISHED","2016","EUR","KAZ","EMPLOYMENT","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","EUR","MKD","HEALTH_SECTOR","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","EUR","MKD","SOCIAL","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","EUR","UZB","LAW_ENFORCEMENT","No","","","",""
"SA_0000001694","PUBLISHED","2016","EUR","UZB","TRADE_INDUSTRY","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","SEAR","BTN","HEALTH_SECTOR","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","SEAR","BTN","ROAD_SAFETY","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","SEAR","IDN","EMPLOYMENT","No","","","",""
"SA_0000001694","PUBLISHED","2016","SEAR","IDN","LAW_ENFORCEMENT","No","","","",""
"SA_0000001694","PUBLISHED","2016","WPR","VNM","JUSTICE","No","","","",""
"SA_0000001694","PUBLISHED","2016","WPR","VNM","ROAD_SAFETY","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","WPR","VNM","EMPLOYMENT","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","WPR","WSM","ROAD_SAFETY","No","","","",""
"SA_0000001694","PUBLISHED","2016","SEAR","THA","ROAD_SAFETY","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","WPR","WSM","FINANCE_TAXATION","No","","","",""
"SA_0000001694","PUBLISHED","2016","WPR","SGP","OTHER_POLICY_SECTOR","No","","","",""
"SA_0000001694","PUBLISHED","2016","WPR","VUT","HEALTH_SECTOR","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","WPR","AUS","EMPLOYMENT","No","","","",""
"SA_0000001694","PUBLISHED","2016","WPR","AUS","AGRICULTURE","No","","","",""
"SA_0000001694","PUBLISHED","2016","AFR","MDG","FINANCE_TAXATION","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","AFR","SYC","SOCIAL","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","AFR","SYC","ROAD_SAFETY","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","AFR","SYC","EDUCATION","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","AFR","ZAF","LAW_ENFORCEMENT","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","AFR","ZAF","AGRICULTURE","No","","","",""
"SA_0000001694","PUBLISHED","2016","AMR","BHS","JUSTICE","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","AMR","BHS","FINANCE_TAXATION","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","AFR","BWA","HEALTH_SECTOR","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","AFR","MWI","TRADE_INDUSTRY","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","AFR","BWA","JUSTICE","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","AFR","CPV","EMPLOYMENT","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","AFR","CPV","TRADE_INDUSTRY","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","AFR","CIV","SOCIAL","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","AFR","CIV","ROAD_SAFETY","No","","","",""
"SA_0000001694","PUBLISHED","2016","AFR","GNQ","LAW_ENFORCEMENT","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","AFR","GNQ","AGRICULTURE","No","","","",""
"SA_0000001694","PUBLISHED","2016","AFR","MDG","JUSTICE","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","AFR","MWI","OTHER_POLICY_SECTOR","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","AFR","DZA","SOCIAL","No","","","",""
"SA_0000001694","PUBLISHED","2016","AFR","DZA","ROAD_SAFETY","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","AFR","AGO","EDUCATION","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","AFR","AGO","LAW_ENFORCEMENT","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","AFR","AGO","AGRICULTURE","No","","","",""
"SA_0000001694","PUBLISHED","2016","AMR","BRA","TRADE_INDUSTRY","No","","","",""
"SA_0000001694","PUBLISHED","2016","AMR","BRA","OTHER_POLICY_SECTOR","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","AMR","COL","ROAD_SAFETY","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","AMR","COL","EDUCATION","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","EUR","CYP","HEALTH_SECTOR","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","EUR","CZE","TRADE_INDUSTRY","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","EUR","CYP","JUSTICE","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","EUR","CZE","FINANCE_TAXATION","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","EUR","CZE","EMPLOYMENT","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","EUR","FRA","LAW_ENFORCEMENT","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","AMR","MEX","AGRICULTURE","No","","","",""
"SA_0000001694","PUBLISHED","2016","AMR","PRY","HEALTH_SECTOR","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","AMR","USA","FINANCE_TAXATION","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","AMR","USA","EMPLOYMENT","No","","","",""
"SA_0000001694","PUBLISHED","2016","EMR","DJI","TRADE_INDUSTRY","No","","","",""
"SA_0000001694","PUBLISHED","2016","EMR","DJI","OTHER_POLICY_SECTOR","No","","","",""
"SA_0000001694","PUBLISHED","2016","EMR","EGY","SOCIAL","No","","","",""
"SA_0000001694","PUBLISHED","2016","EMR","LBN","ROAD_SAFETY","No","","","",""
"SA_0000001694","PUBLISHED","2016","EMR","LBN","EDUCATION","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","EUR","ALB","AGRICULTURE","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","EUR","AND","HEALTH_SECTOR","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","EUR","AUT","FINANCE_TAXATION","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","EUR","AUT","EMPLOYMENT","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","EUR","AZE","OTHER_POLICY_SECTOR","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","EUR","BLR","SOCIAL","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","EUR","BGR","EDUCATION","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","EUR","BGR","LAW_ENFORCEMENT","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","EUR","EST","OTHER_POLICY_SECTOR","No","","","",""
"SA_0000001694","PUBLISHED","2016","EUR","FIN","SOCIAL","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","EUR","FRA","EDUCATION","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","EUR","SMR","EDUCATION","No","","","",""
"SA_0000001694","PUBLISHED","2016","EUR","SVN","HEALTH_SECTOR","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","EUR","ESP","JUSTICE","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","EUR","ESP","FINANCE_TAXATION","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","EUR","SWE","TRADE_INDUSTRY","No","","","",""
"SA_0000001694","PUBLISHED","2016","EUR","SWE","OTHER_POLICY_SECTOR","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","EUR","TJK","ROAD_SAFETY","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","EUR","TJK","EDUCATION","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","EUR","SVK","LAW_ENFORCEMENT","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","EUR","SVK","AGRICULTURE","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","EUR","DEU","HEALTH_SECTOR","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","EUR","DEU","JUSTICE","No","","","",""
"SA_0000001694","PUBLISHED","2016","EUR","ISL","EMPLOYMENT","No","","","",""
"SA_0000001694","PUBLISHED","2016","EUR","ISL","TRADE_INDUSTRY","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","EUR","LVA","HEALTH_SECTOR","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","EUR","LVA","JUSTICE","No","","","",""
"SA_0000001694","PUBLISHED","2016","EUR","LVA","FINANCE_TAXATION","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","EUR","LTU","EMPLOYMENT","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","EUR","LTU","TRADE_INDUSTRY","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","EUR","NLD","SOCIAL","No","","","",""
"SA_0000001694","PUBLISHED","2016","EUR","NLD","ROAD_SAFETY","Yes","","","",""
"SA_0000001694","PUBLISHED","2016","EUR","NOR","LAW_ENFORCEMENT","Yes","","","",""
