"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","BEVERAGETYPE","Display Value","Numeric","Low","High","Comments"
"SA_0000001523_ARCHIVED","PUBLISHED","2012","EUR","AND","SA_500_POPULAR_BEER","1.22","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","EUR","ARM","SA_500_POPULAR_BEER","0.77","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","EUR","ARM","SA_750_POPULAR_LOCAL_SPIRITS","23.31","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","AMR","BHS","SA_500_POPULAR_BEER","2.65","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","AMR","BHS","SA_750_POPULAR_IMPORTED_SPIRITS","5.51","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","EUR","BLR","SA_750_POPULAR_IMPORTED_SPIRITS","9.01","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","EUR","BIH","SA_500_POPULAR_BEER","0.97","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","EUR","BGR","SA_750_TABLE_WINE","6.76","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","EUR","BGR","SA_750_POPULAR_IMPORTED_SPIRITS","14.79","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","AFR","CMR","SA_750_POPULAR_IMPORTED_SPIRITS","14.39","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","AMR","CAN","SA_750_POPULAR_IMPORTED_SPIRITS","24.48","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","WPR","CHN","SA_750_POPULAR_LOCAL_SPIRITS","23.62","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","AMR","CRI","SA_500_POPULAR_BEER","2.86","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","EUR","CZE","SA_500_POPULAR_BEER","0.48","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","EUR","DNK","SA_500_POPULAR_BEER","1.28","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","EUR","DNK","SA_750_POPULAR_LOCAL_SPIRITS","21.75","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","AMR","GTM","SA_750_TABLE_WINE","1.91","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","AFR","GIN","SA_500_POPULAR_BEER","1.52","","","",""
"SA_0000001523_ARCHIVED","PUBLISHED","2012","SEAR","IND","SA_750_POPULAR_IMPORTED_SPIRITS","72.13","","","",""
