"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","MEASUREIMPORTANCETYPE","Display Value","Numeric","Low","High","Comments"
"SA_0000001721","PUBLISHED","2012","EUR","MNE","SA_AWARENESS_CAMPAIGNS_YOUTH","High importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","NLD","SA_SERVER_TRAINING_VOLUNTARILY","High importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","NLD","SA_SERVER_TRAINING_NEEDED","High importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","NLD","SA_LEGAL_ENFORCEMENT","High importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","NLD","SA_MONITORING_THROUGH_TEST_PURCHASE","High importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","NLD","SA_AWARENESS_CAMPAIGNS_SELLERS_SERVERS","High importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","NLD","SA_AWARENESS_CAMPAIGNS_YOUTH","High importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","NOR","SA_SERVER_TRAINING_VOLUNTARILY","Low importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","NOR","SA_SERVER_TRAINING_NEEDED","Medium importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","NOR","SA_LEGAL_ENFORCEMENT","Low importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","NOR","SA_MONITORING_THROUGH_TEST_PURCHASE","Medium importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","NOR","SA_AWARENESS_CAMPAIGNS_SELLERS_SERVERS","Low importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","NOR","SA_AWARENESS_CAMPAIGNS_YOUTH","Low importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","POL","SA_SERVER_TRAINING_VOLUNTARILY","High importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","POL","SA_SERVER_TRAINING_NEEDED","Not used at all","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","POL","SA_LEGAL_ENFORCEMENT","Medium importance","","","",""
