"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","SUBSTANCETYPE","Display Value","Numeric","Low","High","Comments"
"RSUD_8","PUBLISHED","2008","SEAR","LKA","ALCOHOL","yes","","","",""
"RSUD_8","PUBLISHED","2008","EMR","SDN","DRUGS","no","","","",""
"RSUD_8","PUBLISHED","2008","EMR","SDN","ALCOHOL","no","","","",""
"RSUD_8","PUBLISHED","2008","AMR","SUR","ALCOHOL","yes","","","",""
"RSUD_8","PUBLISHED","2008","AMR","SUR","DRUGS","yes","","","",""
"RSUD_8","PUBLISHED","2008","AFR","SWZ","ALCOHOL","no","","","",""
"RSUD_8","PUBLISHED","2008","AFR","SWZ","DRUGS","no","","","",""
"RSUD_8","PUBLISHED","2008","EUR","SWE","DRUGS","yes","","","",""
"RSUD_8","PUBLISHED","2008","EUR","SWE","ALCOHOL","yes","","","",""
"RSUD_8","PUBLISHED","2008","EUR","CHE","ALCOHOL","yes","","","",""
"RSUD_8","PUBLISHED","2008","EUR","CHE","DRUGS","yes","","","",""
"RSUD_8","PUBLISHED","2008","EMR","SYR","ALCOHOL","no","","","",""
"RSUD_8","PUBLISHED","2008","EMR","SYR","DRUGS","no","","","",""
"RSUD_8","PUBLISHED","2008","EUR","TJK","ALCOHOL","yes","","","",""
"RSUD_8","PUBLISHED","2008","EUR","TJK","DRUGS","yes","","","",""
"RSUD_8","PUBLISHED","2008","SEAR","THA","DRUGS","yes","","","",""
"RSUD_8","PUBLISHED","2008","SEAR","THA","ALCOHOL","yes","","","",""
"RSUD_8","PUBLISHED","2008","SEAR","TLS","ALCOHOL","no","","","",""
"RSUD_8","PUBLISHED","2008","SEAR","TLS","DRUGS","no","","","",""
"RSUD_8","PUBLISHED","2008","AFR","TGO","DRUGS","yes","","","",""
"RSUD_8","PUBLISHED","2008","AFR","TGO","ALCOHOL","yes","","","",""
"RSUD_8","PUBLISHED","2008","EMR","TUN","DRUGS","yes","","","",""
"RSUD_8","PUBLISHED","2008","EMR","TUN","ALCOHOL","yes","","","",""
"RSUD_8","PUBLISHED","2008","EUR","TUR","DRUGS","no","","","",""
"RSUD_8","PUBLISHED","2008","EUR","TUR","ALCOHOL","no","","","",""
