"GHO","PUBLISHSTATE","YEAR","REGION","UNREGION","COUNTRY","RESIDENCEAREATYPE","Display Value","Numeric","Low","High","Comments"
"SDGPM25","PUBLISHED","2016","AMR","","MEX","TOTL","20.1 [16.7-27.2]","20.07635","16.65612","27.18510",""
"SDGPM25","PUBLISHED","2016","WPR","","MHL","TOTL","9.4 [4.5-21.8]","9.42780","4.51824","21.77711",""
"SDGPM25","PUBLISHED","2016","EUR","","MKD","TOTL","28.3 [27.1-32.4]","28.34361","27.09451","32.41692",""
"SDGPM25","PUBLISHED","2016","EUR","","MKD","URB","33.0 [30.8-36.7]","33.04213","30.77105","36.68347",""
"SDGPM25","PUBLISHED","2016","AFR","","MLI","TOTL","31.2 [17.4-79.7]","31.17312","17.40206","79.68541",""
"SDGPM25","PUBLISHED","2016","AFR","","MLI","URB","29.0 [15.0-77.4]","29.00644","15.00861","77.35326",""
"SDGPM25","PUBLISHED","2016","EUR","","MLT","TOTL","14.0 [12.4-15.2]","13.96821","12.39466","15.17152",""
"SDGPM25","PUBLISHED","2016","EUR","","MLT","URB","14.0 [12.4-15.2]","13.98625","12.39962","15.18579",""
"SDGPM25","PUBLISHED","2016","SEAR","","MMR","URB","34.6 [30.8-43.8]","34.60784","30.76585","43.82216",""
"SDGPM25","PUBLISHED","2016","SEAR","","MMR","TOTL","34.7 [31.4-41.2]","34.69137","31.43934","41.24051",""
"SDGPM25","PUBLISHED","2016","EUR","","MNE","TOTL","20.2 [18.5-23.7]","20.17023","18.48288","23.66051",""
"SDGPM25","PUBLISHED","2016","EUR","","MNE","URB","19.3 [18.3-22.7]","19.30816","18.31508","22.74237",""
"SDGPM25","PUBLISHED","2016","WPR","","MNG","TOTL","40.4 [28.8-52.1]","40.41896","28.80640","52.11810",""
"SDGPM25","PUBLISHED","2016","WPR","","MNG","URB","49.5 [35.0-64.5]","49.51318","34.99088","64.48193",""
"SDGPM25","PUBLISHED","2016","AFR","","MOZ","TOTL","19.4 [12.5-33.1]","19.43573","12.45268","33.08198",""
"SDGPM25","PUBLISHED","2016","AFR","","MOZ","URB","18.4 [12.1-31.1]","18.42574","12.09333","31.05628",""
"SDGPM25","PUBLISHED","2016","AFR","","MRT","TOTL","40.8 [18.6-92.2]","40.82123","18.57255","92.21095",""
"SDGPM25","PUBLISHED","2016","AFR","","MRT","URB","41.7 [18.8-101.7]","41.70889","18.78337","101.73067",""
"SDGPM25","PUBLISHED","2016","AFR","","MUS","URB","13.5 [8.0-26.3]","13.51868","8.04844","26.30125",""
"SDGPM25","PUBLISHED","2016","AFR","","MUS","TOTL","13.5 [8.1-26.4]","13.53980","8.06184","26.36777",""
"SDGPM25","PUBLISHED","2016","AFR","","MWI","TOTL","22.1 [12.1-40.3]","22.14320","12.08926","40.26307",""
"SDGPM25","PUBLISHED","2016","AFR","","MWI","URB","21.9 [11.8-40.5]","21.89518","11.78948","40.53813",""
"SDGPM25","PUBLISHED","2016","WPR","","MYS","TOTL","16.0 [13.6-19.2]","16.03943","13.58268","19.17164",""
"SDGPM25","PUBLISHED","2016","WPR","","MYS","URB","17.3 [14.7-20.9]","17.31754","14.68517","20.93335",""
