"GHO","PUBLISHSTATE","REGION","COUNTRY","SEX","Display Value","Numeric","Low","High","Comments"
"M_def_1_prev_adult","PUBLISHED","AMR","KNA","MLE","16.2","16.20000","","",""
"M_def_1_prev_adult","PUBLISHED","AMR","DMA","MLE","16.6","16.60000","","",""
"M_def_1_prev_adult","PUBLISHED","EUR","ISR","FMLE","17.0","17.00000","","",""
"M_def_1_prev_adult","PUBLISHED","AMR","CRI","MLE","18.0","18.00000","","",""
"M_def_1_prev_adult","PUBLISHED","EMR","JOR","FMLE","18.0","18.00000","","",""
"M_def_1_prev_adult","PUBLISHED","SEAR","MDV","BTSX","18.8","18.80000","","",""
"M_def_1_prev_adult","PUBLISHED","WPR","JPN","BTSX","19.3","19.30000","","",""
"M_def_1_prev_adult","PUBLISHED","AFR","BWA","BTSX","19.7","19.70000","","",""
"M_def_1_prev_adult","PUBLISHED","AMR","SUR","BTSX","20.0","20.00000","","",""
"M_def_1_prev_adult","PUBLISHED","AMR","USA","MLE","20.5","20.50000","","",""
"M_def_1_prev_adult","PUBLISHED","EMR","IRN","MLE","20.8","20.80000","","",""
"M_def_1_prev_adult","PUBLISHED","AFR","MOZ","MLE","21.9","21.90000","","",""
"M_def_1_prev_adult","PUBLISHED","EUR","IRL","BTSX","21.9","21.90000","","",""
"M_def_1_prev_adult","PUBLISHED","AMR","ARG","BTSX","22.1","22.10000","","",""
"M_def_1_prev_adult","PUBLISHED","AMR","JAM","MLE","22.1","22.10000","","",""
"M_def_1_prev_adult","PUBLISHED","WPR","MHL","BTSX","23.1","23.10000","","",""
"M_def_1_prev_adult","PUBLISHED","AMR","GTM","MLE","24.2","24.20000","","",""
"M_def_1_prev_adult","PUBLISHED","SEAR","IND","MLE","24.3","24.30000","","",""
"M_def_1_prev_adult","PUBLISHED","EUR","ITA","MLE","24.5","24.50000","","",""
"M_def_1_prev_adult","PUBLISHED","EUR","NOR","MLE","25.0","25.00000","","",""
"M_def_1_prev_adult","PUBLISHED","EUR","EST","FMLE","26.4","26.40000","","",""
"M_def_1_prev_adult","PUBLISHED","EMR","IRQ","MLE","26.5","26.50000","","",""
"M_def_1_prev_adult","PUBLISHED","EUR","MNE","FMLE","27.0","27.00000","","",""
"M_def_1_prev_adult","PUBLISHED","AFR","DZA","MLE","27.1","27.10000","","",""
"M_def_1_prev_adult","PUBLISHED","EUR","TUR","BTSX","27.1","27.10000","","",""
"M_def_1_prev_adult","PUBLISHED","EUR","AND","FMLE","27.7","27.70000","","",""
"M_def_1_prev_adult","PUBLISHED","EMR","ARE","MLE","28.1","28.10000","","",""
"M_def_1_prev_adult","PUBLISHED","SEAR","IDN","BTSX","29.3","29.30000","","",""
"M_def_1_prev_adult","PUBLISHED","EUR","GEO","BTSX","30.3","30.30000","","",""
"M_def_1_prev_adult","PUBLISHED","AFR","GMB","MLE","31.3","31.30000","","",""
"M_def_1_prev_adult","PUBLISHED","EMR","MAR","MLE","31.5","31.50000","","",""
"M_def_1_prev_adult","PUBLISHED","EUR","EST","BTSX","34.2","34.20000","","",""
"M_def_1_prev_adult","PUBLISHED","EUR","BIH","FMLE","34.5","34.50000","","",""
