"GHO","PUBLISHSTATE","YEAR","REGION","UNREGION","WORLDBANKINCOMEGROUP","UNSDGREGION","Display Value","Numeric","Low","High","Comments"
"NUTSTUNTINGPREV","PUBLISHED","1990","","18","","","34.9 [30.2-39.9]","34.90000","30.20000","39.90000",""
"NUTSTUNTINGPREV","PUBLISHED","1990","","64","","","58.9 [54.5-63.4]","58.90000","54.50000","63.40000",""
"NUTSTUNTINGPREV","PUBLISHED","1990","","145","","","30.3 [24.2-37.2]","30.30000","24.20000","37.20000",""
"NUTSTUNTINGPREV","PUBLISHED","1990","","419","","","22.7 [18.7-26.8]","22.70000","18.70000","26.80000",""
"NUTSTUNTINGPREV","PUBLISHED","1990","","21","","","3.3","3.30000","","","regional average is based only on United States data, hence confidence intervals are not provided"
"NUTSTUNTINGPREV","PUBLISHED","1990","","15","","","28.3 [21.9-35.7]","28.30000","21.90000","35.70000",""
"NUTSTUNTINGPREV","PUBLISHED","1990","","197","","","44.0 [42.1-45.8]","44.00000","42.10000","45.80000","Only Less Developed Regions are displayed, while the aggregates of the More Developed Regions are not displayed due to insufficient population coverage"
"NUTSTUNTINGPREV","PUBLISHED","1990","","30","","","35.6 [33.6-37.7]","35.60000","33.60000","37.70000","excluding Japan"
"NUTSTUNTINGPREV","PUBLISHED","1990","","17","","","44.3 [36.3-52.6]","44.30000","36.30000","52.60000",""
"NUTSTUNTINGPREV","PUBLISHED","1990","","2","","","42.2 [39.5-44.9]","42.20000","39.50000","44.90000",""
"NUTSTUNTINGPREV","PUBLISHED","1990","","198","","","58.2 [54.3-62.0]","58.20000","54.30000","62.00000",""
"NUTSTUNTINGPREV","PUBLISHED","1990","","142","","","47.5 [45.0-49.9]","47.50000","45.00000","49.90000","excluding Japan"
"NUTSTUNTINGPREV","PUBLISHED","1990","","543","","","36.2 [19.3-57.4]","36.20000","19.30000","57.40000","Consecutive Low Population Coverage"
"NUTSTUNTINGPREV","PUBLISHED","1990","","34","","","59.6 [54.9-64.1]","59.60000","54.90000","64.10000",""
"NUTSTUNTINGPREV","PUBLISHED","1990","","14","","","52.1 [46.3-57.7]","52.10000","46.30000","57.70000",""
"NUTSTUNTINGPREV","PUBLISHED","1995","","145","","","26.5 [19.9-34.3]","26.50000","19.90000","34.30000",""
"NUTSTUNTINGPREV","PUBLISHED","1995","","198","","","53.4 [49.8-57.0]","53.40000","49.80000","57.00000",""
"NUTSTUNTINGPREV","PUBLISHED","1995","","2","","","40.0 [37.5-42.5]","40.00000","37.50000","42.50000",""
"NUTSTUNTINGPREV","PUBLISHED","1995","","197","","","39.6 [37.9-41.4]","39.60000","37.90000","41.40000","Only Less Developed Regions are displayed, while the aggregates of the More Developed Regions are not displayed due to insufficient population coverage"
"NUTSTUNTINGPREV","PUBLISHED","1995","","14","","","48.9 [43.8-54.1]","48.90000","43.80000","54.10000",""
"NUTSTUNTINGPREV","PUBLISHED","1995","","13","","","27.6 [19.9-37.0]","27.60000","19.90000","37.00000",""
"NUTSTUNTINGPREV","PUBLISHED","1995","","142","","","42.6 [40.2-45.0]","42.60000","40.20000","45.00000","excluding Japan"
"NUTSTUNTINGPREV","PUBLISHED","1995","","35","","","42.6 [35.7-49.9]","42.60000","35.70000","49.90000",""
"NUTSTUNTINGPREV","PUBLISHED","1995","","29","","","17.9 [9.1-32.3]","17.90000","9.10000","32.30000",""
"NUTSTUNTINGPREV","PUBLISHED","1995","","11","","","38.4 [35.4-41.5]","38.40000","35.40000","41.50000",""
