"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","AGEGROUP","RESIDENCEAREATYPE","WEALTHQUINTILE","Display Value","Numeric","Low","High","Comments"
"EQ_WATERPIPED","PUBLISHED","2003","EUR","TUR","","","","70.1","0.70129","","",""
"EQ_WATERPIPED","PUBLISHED","1992","AFR","MWI","","URB","","82.3","0.82310","","",""
"EQ_WATERPIPED","PUBLISHED","1995","AFR","MLI","","URB","","49.4","0.49435","","",""
"EQ_WATERPIPED","PUBLISHED","1993","WPR","PHL","","URB","","53.6","0.53626","","",""
"EQ_WATERPIPED","PUBLISHED","1998","WPR","PHL","","URB","","65.9","0.65909","","",""
"EQ_WATERPIPED","PUBLISHED","2005","AFR","RWA","","URB","","55.4","0.55416","","",""
"EQ_WATERPIPED","PUBLISHED","2007","AFR","RWA","","URB","","59.6","0.59604","","",""
"EQ_WATERPIPED","PUBLISHED","1996","EUR","UZB","","","","77.7","0.77743","","",""
"EQ_WATERPIPED","PUBLISHED","1998","AFR","BFA","","URB","","72.8","0.72766","","",""
"EQ_WATERPIPED","PUBLISHED","2003","AFR","BFA","","URB","","88.6","0.88636","","",""
"EQ_WATERPIPED","PUBLISHED","1994","AFR","CAF","","URB","","43.1","0.43103","","",""
"EQ_WATERPIPED","PUBLISHED","1996","AFR","TCD","","URB","","23.3","0.23314","","",""
"EQ_WATERPIPED","PUBLISHED","1993","SEAR","BGD","","","","4.6","0.04601","","",""
"EQ_WATERPIPED","PUBLISHED","1996","SEAR","BGD","","","","5.1","0.05116","","",""
"EQ_WATERPIPED","PUBLISHED","1999","SEAR","BGD","","","","6.1","0.06104","","",""
"EQ_WATERPIPED","PUBLISHED","2004","SEAR","BGD","","","","6.9","0.06935","","",""
"EQ_WATERPIPED","PUBLISHED","1999","AMR","DOM","","","","39.2","0.39156","","",""
"EQ_WATERPIPED","PUBLISHED","2002","AMR","DOM","","","","28.4","0.28441","","",""
"EQ_WATERPIPED","PUBLISHED","2007","AMR","DOM","","","","21.6","0.21582","","",""
"EQ_WATERPIPED","PUBLISHED","1995","EMR","EGY","","","","83.3","0.83257","","",""
"EQ_WATERPIPED","PUBLISHED","2007","EMR","JOR","","","","70.3","0.70293","","",""
"EQ_WATERPIPED","PUBLISHED","2009","EMR","JOR","","","","59.7","0.59732","","",""
"EQ_WATERPIPED","PUBLISHED","1999","EUR","KAZ","","","","66.3","0.66251","","",""
"EQ_WATERPIPED","PUBLISHED","2003","AFR","GHA","","URB","","72.5","0.72467","","",""
"EQ_WATERPIPED","PUBLISHED","2005","AFR","GIN","","URB","","68.1","0.68069","","",""
"EQ_WATERPIPED","PUBLISHED","1994","AMR","HTI","","URB","","49.8","0.49824","","",""
"EQ_WATERPIPED","PUBLISHED","2003","AFR","MDG","","URB","","64.5","0.64517","","",""
"EQ_WATERPIPED","PUBLISHED","2008","AFR","MDG","","URB","","73.2","0.73246","","",""
"EQ_WATERPIPED","PUBLISHED","2010","AFR","TZA","","","WQ1","32.9","0.32863","","",""
"EQ_WATERPIPED","PUBLISHED","2009","SEAR","TLS","","","WQ1","45.4","0.45362","","",""
"EQ_WATERPIPED","PUBLISHED","1998","AFR","TGO","","","WQ1","48.6","0.48602","","",""
