"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","EDUCATIONLEVEL","RESIDENCEAREATYPE","WEALTHQUINTILE","DHSMICSGEOREGION","WEALTHDECILE","Display Value","Numeric","Low","High","Comments"
"bmi30wm","EQ_DHS","PUBLISHED","2005","EUR","ARM","","","","ARMDHS200510","","22.8 [20.5-25.3]","23.00000","20.00000","25.00000",""
"bmi30wm","EQ_DHS","PUBLISHED","2005","EUR","ARM","","","","ARMDHS200511","","13.1 [10.9-15.7]","13.00000","11.00000","16.00000",""
"bmi30wm","EQ_DHS","PUBLISHED","2010","EUR","ARM","","","","ARMDHS201001","","No data","","","","Not available."
"bmi30wm","EQ_DHS","PUBLISHED","2010","EUR","ARM","","","","ARMDHS201002","","No data","","","","Not available."
"bmi30wm","EQ_DHS","PUBLISHED","2010","EUR","ARM","","","","ARMDHS201003","","No data","","","","Not available."
"bmi30wm","EQ_DHS","PUBLISHED","2010","EUR","ARM","","","","ARMDHS201004","","No data","","","","Not available."
"bmi30wm","EQ_DHS","PUBLISHED","2010","EUR","ARM","","","","ARMDHS201005","","No data","","","","Not available."
"bmi30wm","EQ_DHS","PUBLISHED","2010","EUR","ARM","","","","ARMDHS201006","","No data","","","","Not available."
"bmi30wm","EQ_DHS","PUBLISHED","2010","EUR","ARM","","","","ARMDHS201007","","No data","","","","Not available."
"bmi30wm","EQ_DHS","PUBLISHED","2010","EUR","ARM","","","","ARMDHS201008","","No data","","","","Not available."
"bmi30wm","EQ_DHS","PUBLISHED","2010","EUR","ARM","","","","ARMDHS201009","","No data","","","","Not available."
"bmi30wm","EQ_DHS","PUBLISHED","2010","EUR","ARM","","","","ARMDHS201010","","No data","","","","Not available."
"bmi30wm","EQ_DHS","PUBLISHED","2010","EUR","ARM","","","","ARMDHS201011","","No data","","","","Not available."
"bmi30wm","EQ_DHS","PUBLISHED","2015","EUR","ARM","","","","ARMDHS201501","","12.3 [9.9-15.3]","12.00000","10.00000","15.00000",""
"bmi30wm","EQ_DHS","PUBLISHED","2015","EUR","ARM","","","","ARMDHS201502","","13.3 [9.4-18.5]","13.00000","9.00000","19.00000",""
"bmi30wm","EQ_DHS","PUBLISHED","2015","EUR","ARM","","","","ARMDHS201503","","16.1 [13.5-19.1]","16.00000","14.00000","19.00000",""
"bmi30wm","EQ_DHS","PUBLISHED","2015","EUR","ARM","","","","ARMDHS201504","","22.9 [19.5-26.7]","23.00000","19.00000","27.00000",""
"bmi30wm","EQ_DHS","PUBLISHED","2015","EUR","ARM","","","","ARMDHS201505","","13.5 [10.1-17.7]","13.00000","10.00000","18.00000",""
"bmi30wm","EQ_DHS","PUBLISHED","2015","EUR","ARM","","","","ARMDHS201506","","14.1 [9.7-20.2]","14.00000","10.00000","20.00000",""
"bmi30wm","EQ_DHS","PUBLISHED","2015","EUR","ARM","","","","ARMDHS201507","","15.8 [13.0-18.9]","16.00000","13.00000","19.00000",""
"bmi30wm","EQ_DHS","PUBLISHED","2015","EUR","ARM","","","","ARMDHS201508","","9.3 [7.1-12.0]","9.00000","7.00000","12.00000",""
"bmi30wm","EQ_DHS","PUBLISHED","2015","EUR","ARM","","","","ARMDHS201509","","18.6 [15.4-22.2]","19.00000","15.00000","22.00000",""
"bmi30wm","EQ_DHS","PUBLISHED","2015","EUR","ARM","","","","ARMDHS201510","","20.8 [17.0-25.2]","21.00000","17.00000","25.00000",""
"bmi30wm","EQ_DHS","PUBLISHED","2015","EUR","ARM","","","","ARMDHS201511","","26.6 [22.8-30.9]","27.00000","23.00000","31.00000",""
"bmi30wm","EQ_DHS","PUBLISHED","2006","EUR","AZE","","","","AZEDHS200601","","21.6 [19.3-24.1]","22.00000","19.00000","24.00000",""
"bmi30wm","EQ_DHS","PUBLISHED","2006","EUR","AZE","","","","AZEDHS200602","","20.6 [16.6-25.4]","21.00000","17.00000","25.00000",""
"bmi30wm","EQ_DHS","PUBLISHED","2006","EUR","AZE","","","","AZEDHS200603","","27.2 [24.8-29.7]","27.00000","25.00000","30.00000",""
"bmi30wm","EQ_DHS","PUBLISHED","2006","EUR","AZE","","","","AZEDHS200604","","10.8 [8.8-13.3]","11.00000","9.00000","13.00000",""
"bmi30wm","EQ_DHS","PUBLISHED","2006","EUR","AZE","","","","AZEDHS200605","","15.7 [11.7-20.7]","16.00000","12.00000","21.00000",""
"bmi30wm","EQ_DHS","PUBLISHED","2006","EUR","AZE","","","","AZEDHS200606","","4.4 [3.2-6.0]","4.00000","3.00000","6.00000",""
"bmi30wm","EQ_DHS","PUBLISHED","2006","EUR","AZE","","","","AZEDHS200607","","14.1 [11.4-17.5]","14.00000","11.00000","17.00000",""
"bmi30wm","EQ_DHS","PUBLISHED","2006","EUR","AZE","","","","AZEDHS200608","","16.5 [14.1-19.1]","16.00000","14.00000","19.00000",""
