"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","ALCOHOLTYPE","Display Value","Numeric","Low","High","Comments"
"SA_0000001547","","PUBLISHED","2014","EUR","MLT","SA_WINE","200","200.00000","","",""
"SA_0000001547","","PUBLISHED","2014","EUR","MLT","SA_SPIRITS","1350","1350.00000","","",""
"SA_0000001547","","PUBLISHED","2014","EUR","SVK","SA_WINE","0","0.00000","","",""
"SA_0000001547","","PUBLISHED","2014","EUR","SVK","SA_SPIRITS","1080","1080.00000","","",""
"SA_0000001547","","PUBLISHED","2011","EUR","CHE","SA_BEER","416","416.00000","","",""
"SA_0000001547","","PUBLISHED","2012","EUR","AUT","SA_WINE","0","0.00000","","",""
"SA_0000001547","","PUBLISHED","2009","EUR","BEL","SA_BEER","20.52","20.52000","","",""
"SA_0000001547","","PUBLISHED","2010","EUR","HRV","SA_WINE","0","0.00000","","",""
"SA_0000001547","","PUBLISHED","2012","EUR","HRV","SA_BEER","25.86","25.86000","","",""
"SA_0000001547","","PUBLISHED","2012","EUR","HRV","SA_SPIRITS","706","706.00000","","",""
"SA_0000001547","","PUBLISHED","2009","EUR","CYP","SA_WINE","0","0.00000","","",""
"SA_0000001547","","PUBLISHED","2010","EUR","CYP","SA_BEER","22.8","22.80000","","",""
"SA_0000001547","","PUBLISHED","2012","EUR","CZE","SA_SPIRITS","1136.36","1136.36000","","",""
"SA_0000001547","","PUBLISHED","2008","EUR","DNK","SA_WINE","82.3","82.30000","","",""
"SA_0000001547","","PUBLISHED","2011","EUR","DNK","SA_BEER","31.82","31.82000","","",""
