"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","WORLDBANKINCOMEGROUP","COUNTRY","Display Value","Numeric","Low","High","Comments"
"WHS7_104","NHA_GEO","PUBLISHED","2003","EUR","WB_LMI","GEO","11.03","11.02744","","",""
"WHS7_104","NHA_GHA","PUBLISHED","1997","AFR","WB_LMI","GHA","9.03","9.02545","","",""
"WHS7_104","NHA_GHA","PUBLISHED","2000","AFR","WB_LMI","GHA","6.13","6.12930","","",""
"WHS7_104","NHA_GHA","PUBLISHED","2014","AFR","WB_LMI","GHA","34.65","34.64623","","",""
"WHS7_104","","PUBLISHED","2011","AFR","WB_LI","GIN","8.85","8.85354","","",""
"WHS7_104","","PUBLISHED","2012","AFR","WB_LI","GIN","10.23","10.22912","","",""
"WHS7_104","","PUBLISHED","2008","AFR","WB_LI","GMB","21.47","21.46735","","",""
"WHS7_104","","PUBLISHED","2009","AFR","WB_LI","GMB","19.14","19.13679","","",""
"WHS7_104","NHA_GNB","PUBLISHED","2003","AFR","WB_LI","GNB","4.41","4.40516","","",""
"WHS7_104","NHA_GNB","PUBLISHED","2005","AFR","WB_LI","GNB","4.35","4.34653","","",""
"WHS7_104","NHA_GNB","PUBLISHED","2006","AFR","WB_LI","GNB","4.23","4.23118","","",""
"WHS7_104","NHA_GNB","PUBLISHED","2007","AFR","WB_LI","GNB","6.21","6.20849","","",""
"WHS7_104","NHA_GNQ","PUBLISHED","2000","AFR","WB_HI","GNQ","42.68","42.68100","","",""
"WHS7_104","NHA_GNQ","PUBLISHED","2003","AFR","WB_HI","GNQ","64.69","64.68766","","",""
"WHS7_104","","PUBLISHED","1997","EUR","WB_HI","GRC","563.90","563.90272","","",""
"WHS7_104","","PUBLISHED","2000","EUR","WB_HI","GRC","551.16","551.16042","","",""
"WHS7_104","","PUBLISHED","2014","EUR","WB_HI","GRC","1074.82","1074.81735","","",""
"WHS7_104","","PUBLISHED","1997","AMR","WB_UMI","GRD","95.23","95.22501","","",""
"WHS7_104","","PUBLISHED","2011","AMR","WB_UMI","GRD","225.26","225.26360","","",""
"WHS7_104","","PUBLISHED","2012","AMR","WB_UMI","GRD","231.02","231.02445","","",""
"WHS7_104","NHA_GTM","PUBLISHED","2008","AMR","WB_LMI","GTM","64.36","64.35817","","",""
"WHS7_104","NHA_GTM","PUBLISHED","2009","AMR","WB_LMI","GTM","65.87","65.87298","","",""
"WHS7_104","","PUBLISHED","2006","AMR","WB_LMI","GUY","59.71","59.71304","","",""
"WHS7_104","","PUBLISHED","2000","AMR","WB_LMI","HND","41.36","41.36388","","",""
"WHS7_104","","PUBLISHED","2003","AMR","WB_LMI","HND","58.81","58.81316","","",""
"WHS7_104","","PUBLISHED","1997","EUR","WB_HI","HRV","257.18","257.17969","","",""
