"GHO","PUBLISHSTATE","YEAR","REGION","WORLDBANKINCOMEGROUP","COUNTRY","ALCOHOLTYPE","Display Value","Numeric","Low","High","Comments"
"SA_0000001518_ARCHIVED","PUBLISHED","2012","AFR","WB_LI","NER","SA_SPIRITS","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","WPR","WB_LI","NIU","SA_BEER","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","WPR","WB_LI","VNM","SA_BEER","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","EMR","WB_LI","SOM","SA_BEER","","","","","missing data"
"SA_0000001518_ARCHIVED","PUBLISHED","2012","AFR","WB_LI","TGO","SA_BEER","No","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","AFR","WB_LI","TGO","SA_WINE","No","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","AFR","WB_LMI","CPV","SA_SPIRITS","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","WPR","WB_LMI","PNG","SA_BEER","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","WPR","WB_LMI","PNG","SA_WINE","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","EMR","WB_LMI","TUN","SA_BEER","18","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","EMR","WB_LMI","EGY","SA_SPIRITS","21","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","WPR","WB_LMI","MNG","SA_WINE","21","","","",""
"SA_0000001518_ARCHIVED","PUBLISHED","2012","EMR","WB_LMI","PAK","SA_WINE","21","","","",""
