"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","GHECAUSES","Display Value","Numeric","Low","High","Comments"
"GBD_DALYRTAGE","PUBLISHED","2012","AMR","CAN","GHE060","15,725","15724.51953","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","AMR","CAN","GHE151","1,802","1802.25500","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","EUR","CHE","GHE000","20,584","20583.51953","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","EUR","CHE","GHE001","1,161","1160.80896","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","EUR","CHE","GHE060","16,877","16876.80078","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","EUR","CHE","GHE151","2,546","2545.90796","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","EUR","CHE","GHE000","17,679","17678.61914","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","EUR","CHE","GHE001","961","961.23541","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","EUR","CHE","GHE060","14,872","14871.95020","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","EUR","CHE","GHE151","1,845","1845.42798","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","AMR","CHL","GHE000","24,547","24546.56055","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","AMR","CHL","GHE001","2,545","2544.79712","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","AMR","CHL","GHE060","18,807","18806.66016","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","AMR","CHL","GHE151","3,195","3195.10010","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","AMR","CHL","GHE000","21,333","21332.61914","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","AMR","CHL","GHE001","2,001","2001.25305","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","AMR","CHL","GHE060","16,750","16750.25000","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","AMR","CHL","GHE151","2,581","2581.11401","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","WPR","CHN","GHE000","32,966","32966.23828","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","WPR","CHN","GHE001","7,091","7091.40918","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","WPR","CHN","GHE060","21,614","21614.47070","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","WPR","CHN","GHE151","4,260","4260.35889","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","WPR","CHN","GHE000","24,811","24811.00000","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","WPR","CHN","GHE001","3,282","3282.20190","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","WPR","CHN","GHE060","18,748","18748.06055","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","WPR","CHN","GHE151","2,781","2780.73804","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","AFR","CIV","GHE000","106,763","106762.70313","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","AFR","CIV","GHE001","70,408","70407.65625","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","AFR","CIV","GHE060","29,904","29904.47070","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","AFR","CIV","GHE151","6,451","6450.60498","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","AFR","CIV","GHE000","88,856","88855.67969","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","AFR","CIV","GHE001","48,603","48602.92969","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","AFR","CIV","GHE060","33,045","33044.83984","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","AFR","CIV","GHE151","7,208","7207.91699","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","AFR","CMR","GHE000","94,590","94590.03906","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","AFR","CMR","GHE001","59,027","59026.96094","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","AFR","CMR","GHE060","29,107","29106.71094","","",""
"GBD_DALYRTAGE","PUBLISHED","2000","AFR","CMR","GHE151","6,456","6456.36182","","",""
"GBD_DALYRTAGE","PUBLISHED","2012","AFR","CMR","GHE000","77,369","77368.50781","","",""
