"GHO","PUBLISHSTATE","REGION","COUNTRY","SEX","Display Value","Numeric","Low","High","Comments"
"M_def_2_prev_youth","PUBLISHED","AFR","COM","MLE","13.5","13.50000","","",""
"M_def_2_prev_youth","PUBLISHED","AMR","HTI","BTSX","14.0","14.00000","","",""
"M_def_2_prev_youth","PUBLISHED","AMR","HTI","MLE","14.1","14.10000","","",""
"M_def_2_prev_youth","PUBLISHED","EMR","BHR","BTSX","14.3","14.30000","","",""
"M_def_2_prev_youth","PUBLISHED","EUR","BIH","MLE","14.3","14.30000","","",""
"M_def_2_prev_youth","PUBLISHED","AMR","MEX","MLE","15.8","15.80000","","",""
"M_def_2_prev_youth","PUBLISHED","WPR","FJI","MLE","16.2","16.20000","","",""
"M_def_2_prev_youth","PUBLISHED","AMR","VCT","MLE","16.6","16.60000","","",""
"M_def_2_prev_youth","PUBLISHED","WPR","MHL","MLE","17.0","17.00000","","",""
"M_def_2_prev_youth","PUBLISHED","AFR","MRT","BTSX","17.3","17.30000","","",""
"M_def_2_prev_youth","PUBLISHED","AMR","GUY","MLE","17.4","17.40000","","",""
"M_def_2_prev_youth","PUBLISHED","AMR","JAM","MLE","21.5","21.50000","","",""
"M_def_2_prev_youth","PUBLISHED","EMR","BHR","MLE","23.1","23.10000","","",""
"M_def_2_prev_youth","PUBLISHED","EUR","HUN","MLE","24.0","24.00000","","",""
"M_def_2_prev_youth","PUBLISHED","EUR","CZE","MLE","28.0","28.00000","","",""
"M_def_2_prev_youth","PUBLISHED","EUR","LVA","MLE","29.2","29.20000","","",""
"M_def_2_prev_youth","PUBLISHED","EUR","BLR","MLE","31.2","31.20000","","",""
"M_def_2_prev_youth","PUBLISHED","WPR","KIR","MLE","34.3","34.30000","","",""
"M_def_2_prev_youth","PUBLISHED","EMR","LBN","MLE","41.9","41.90000","","",""
"M_def_2_prev_youth","PUBLISHED","WPR","WSM","MLE","42.2","42.20000","","",""
"M_def_2_prev_youth","PUBLISHED","EUR","SWE","BTSX","Not available","","","","Data not reported / not available"
"M_def_2_prev_youth","PUBLISHED","EUR","LUX","FMLE","Not available","","","","Data not reported / not available"
"M_def_2_prev_youth","PUBLISHED","WPR","KHM","BTSX","0.2","0.20000","","",""
"M_def_2_prev_youth","PUBLISHED","EUR","AZE","FMLE","0.4","0.40000","","","Manufactured cigarettes only"
"M_def_2_prev_youth","PUBLISHED","WPR","KHM","MLE","0.4","0.40000","","",""
"M_def_2_prev_youth","PUBLISHED","AFR","DZA","FMLE","0.8","0.80000","","",""
"M_def_2_prev_youth","PUBLISHED","EUR","TJK","MLE","1.1","1.10000","","",""
"M_def_2_prev_youth","PUBLISHED","AFR","ERI","BTSX","1.6","1.60000","","",""
"M_def_2_prev_youth","PUBLISHED","EUR","UZB","BTSX","1.8","1.80000","","",""
"M_def_2_prev_youth","PUBLISHED","AFR","ERI","MLE","2.0","2.00000","","",""
"M_def_2_prev_youth","PUBLISHED","EMR","LBY","FMLE","2.0","2.00000","","",""
"M_def_2_prev_youth","PUBLISHED","EMR","AFG","BTSX","2.5","2.50000","","",""
"M_def_2_prev_youth","PUBLISHED","AFR","RWA","MLE","3.0","3.00000","","",""
"M_def_2_prev_youth","PUBLISHED","AFR","CPV","FMLE","3.1","3.10000","","",""
"M_def_2_prev_youth","PUBLISHED","EUR","FIN","MLE","3.3","3.30000","","",""
"M_def_2_prev_youth","PUBLISHED","AFR","NER","BTSX","3.5","3.50000","","",""
"M_def_2_prev_youth","PUBLISHED","EMR","SDN","FMLE","3.6","3.60000","","",""
"M_def_2_prev_youth","PUBLISHED","AFR","COD","FMLE","3.7","3.70000","","",""
"M_def_2_prev_youth","PUBLISHED","EMR","AFG","MLE","3.7","3.70000","","",""
"M_def_2_prev_youth","PUBLISHED","WPR","MNG","BTSX","3.9","3.90000","","",""
"M_def_2_prev_youth","PUBLISHED","AMR","KNA","BTSX","4.0","4.00000","","",""
"M_def_2_prev_youth","PUBLISHED","EUR","ARM","BTSX","4.0","4.00000","","",""
"M_def_2_prev_youth","PUBLISHED","EMR","LBY","BTSX","4.3","4.30000","","",""
"M_def_2_prev_youth","PUBLISHED","AFR","SEN","BTSX","4.5","4.50000","","",""
"M_def_2_prev_youth","PUBLISHED","AFR","SWZ","FMLE","4.5","4.50000","","",""
"M_def_2_prev_youth","PUBLISHED","AFR","BDI","BTSX","4.6","4.60000","","",""
"M_def_2_prev_youth","PUBLISHED","EMR","QAT","FMLE","4.7","4.70000","","",""
"M_def_2_prev_youth","PUBLISHED","AMR","KNA","MLE","4.8","4.80000","","",""
"M_def_2_prev_youth","PUBLISHED","AFR","KEN","BTSX","4.9","4.90000","","",""
"M_def_2_prev_youth","PUBLISHED","AFR","MWI","BTSX","4.9","4.90000","","",""
"M_def_2_prev_youth","PUBLISHED","EMR","JOR","FMLE","5.4","5.40000","","",""
"M_def_2_prev_youth","PUBLISHED","EUR","MNE","MLE","5.7","5.70000","","",""
"M_def_2_prev_youth","PUBLISHED","EMR","SOM","BTSX","5.8","5.80000","","",""
"M_def_2_prev_youth","PUBLISHED","WPR","CHN","BTSX","6.4","6.40000","","",""
"M_def_2_prev_youth","PUBLISHED","AFR","BFA","BTSX","6.5","6.50000","","",""
"M_def_2_prev_youth","PUBLISHED","SEAR","BTN","FMLE","6.6","6.60000","","",""
"M_def_2_prev_youth","PUBLISHED","AFR","NER","MLE","6.8","6.80000","","",""
"M_def_2_prev_youth","PUBLISHED","EMR","YEM","BTSX","6.8","6.80000","","",""
"M_def_2_prev_youth","PUBLISHED","AFR","COM","FMLE","6.9","6.90000","","",""
"M_def_2_prev_youth","PUBLISHED","EUR","MKD","FMLE","7.0","7.00000","","",""
"M_def_2_prev_youth","PUBLISHED","AMR","SLV","FMLE","7.1","7.10000","","",""
"M_def_2_prev_youth","PUBLISHED","AFR","CMR","MLE","7.6","7.60000","","",""
"M_def_2_prev_youth","PUBLISHED","AMR","URY","MLE","8.0","8.00000","","",""
"M_def_2_prev_youth","PUBLISHED","EUR","MDA","BTSX","8.3","8.30000","","",""
"M_def_2_prev_youth","PUBLISHED","AMR","VCT","FMLE","8.5","8.50000","","",""
"M_def_2_prev_youth","PUBLISHED","EUR","RUS","FMLE","9.0","9.00000","","",""
"M_def_2_prev_youth","PUBLISHED","EUR","MKD","MLE","9.0","9.00000","","",""
"M_def_2_prev_youth","PUBLISHED","AMR","SLV","BTSX","9.1","9.10000","","",""
