"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","BACGROUP","Display Value","Numeric","Low","High","Comments"
"SA_0000001520","PUBLISHED","2016","SEAR","IDN","SA_PROFESS_COMMERCE_DRIVERS","none","","","",""
"SA_0000001520","PUBLISHED","2016","SEAR","LKA","SA_YOUNG_NOVICE_DRIVERS","0.08%","","","",""
"SA_0000001520","PUBLISHED","2016","SEAR","TLS","SA_PROFESS_COMMERCE_DRIVERS","0.05%","","","",""
"SA_0000001520","PUBLISHED","2016","WPR","KHM","SA_GENERAL_POPULATION","0.05%","","","",""
"SA_0000001520","PUBLISHED","2016","WPR","FJI","SA_PROFESS_COMMERCE_DRIVERS","zero tolerance","","","",""
"SA_0000001520","PUBLISHED","2016","WPR","LAO","SA_GENERAL_POPULATION","0.05%","","","",""
"SA_0000001520","PUBLISHED","2016","WPR","MHL","SA_YOUNG_NOVICE_DRIVERS","none","","","",""
"SA_0000001520","PUBLISHED","2016","WPR","NZL","SA_GENERAL_POPULATION","0.05%","","","",""
"SA_0000001520","PUBLISHED","2016","WPR","PLW","SA_YOUNG_NOVICE_DRIVERS","0.10%","","","",""
"SA_0000001520","PUBLISHED","2016","WPR","PHL","SA_PROFESS_COMMERCE_DRIVERS","0.05%","","","",""
"SA_0000001520","PUBLISHED","2016","WPR","SLB","SA_YOUNG_NOVICE_DRIVERS",".","","","",""
"SA_0000001520","PUBLISHED","2016","WPR","TUV","SA_PROFESS_COMMERCE_DRIVERS",".","","","",""
"SA_0000001520","PUBLISHED","2016","EMR","ARE","SA_YOUNG_NOVICE_DRIVERS","zero tolerance","","","",""
"SA_0000001520","PUBLISHED","2016","AFR","COD","SA_YOUNG_NOVICE_DRIVERS","0.05%","","","",""
"SA_0000001520","PUBLISHED","2016","AMR","ECU","SA_GENERAL_POPULATION","0.03%","","","",""
"SA_0000001520","PUBLISHED","2016","AMR","JAM","SA_PROFESS_COMMERCE_DRIVERS","0.08%","","","",""
"SA_0000001520","PUBLISHED","2016","AMR","MEX","SA_YOUNG_NOVICE_DRIVERS","sub-national","","","",""
"SA_0000001520","PUBLISHED","2016","AMR","PAN","SA_PROFESS_COMMERCE_DRIVERS","0.05%","","","",""
"SA_0000001520","PUBLISHED","2016","AMR","PRY","SA_YOUNG_NOVICE_DRIVERS","Zero tolerance","","","",""
"SA_0000001520","PUBLISHED","2016","AFR","GNQ","SA_GENERAL_POPULATION","0.05%","","","",""
"SA_0000001520","PUBLISHED","2016","AFR","ERI","SA_PROFESS_COMMERCE_DRIVERS","0.03%","","","",""
"SA_0000001520","PUBLISHED","2016","AFR","ETH","SA_YOUNG_NOVICE_DRIVERS","0.08%","","","",""
"SA_0000001520","PUBLISHED","2016","AFR","GAB","SA_GENERAL_POPULATION","0.08%","","","",""
"SA_0000001520","PUBLISHED","2016","AFR","LBR","SA_GENERAL_POPULATION","none","","","",""
"SA_0000001520","PUBLISHED","2016","AFR","LBR","SA_PROFESS_COMMERCE_DRIVERS","none","","","",""
"SA_0000001520","PUBLISHED","2016","AFR","MDG","SA_YOUNG_NOVICE_DRIVERS","0.04%","","","",""
"SA_0000001520","PUBLISHED","2016","EMR","PAK","SA_YOUNG_NOVICE_DRIVERS","zero tolerance","","","",""
"SA_0000001520","PUBLISHED","2016","EMR","QAT","SA_GENERAL_POPULATION",".","","","",""
"SA_0000001520","PUBLISHED","2016","EMR","YEM","SA_GENERAL_POPULATION","total ban","","","",""
"SA_0000001520","PUBLISHED","2016","EMR","YEM","SA_PROFESS_COMMERCE_DRIVERS","total ban","","","",""
"SA_0000001520","PUBLISHED","2016","EUR","ALB","SA_YOUNG_NOVICE_DRIVERS","0.01%","","","",""
"SA_0000001520","PUBLISHED","2016","EUR","ARM","SA_GENERAL_POPULATION","0.08%","","","",""
"SA_0000001520","PUBLISHED","2016","EUR","ARM","SA_PROFESS_COMMERCE_DRIVERS","0.08%","","","",""
"SA_0000001520","PUBLISHED","2016","EUR","CYP","SA_YOUNG_NOVICE_DRIVERS","0.02%","","","",""
"SA_0000001520","PUBLISHED","2016","EUR","CZE","SA_GENERAL_POPULATION","zero tolerance","","","",""
