"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","ENVCAUSE","Display Value","Numeric","Low","High","Comments"
"TOTENV_2","PUBLISHED","2012","SEAR","NPL","ENVCAUSE060","172","172.48684","","",""
"TOTENV_2","PUBLISHED","2012","WPR","PNG","ENVCAUSE060","102","102.39319","","",""
"TOTENV_2","PUBLISHED","2012","EUR","SWE","ENVCAUSE060","35","35.02931","","",""
"TOTENV_2","PUBLISHED","2012","EMR","ARE","ENVCAUSE001","2","1.82735","","",""
"TOTENV_2","PUBLISHED","2012","AFR","BEN","ENVCAUSE001","96","95.58729","","",""
"TOTENV_2","PUBLISHED","2012","EUR","BIH","ENVCAUSE001","2","1.81561","","",""
"TOTENV_2","PUBLISHED","2012","AMR","CAN","ENVCAUSE001","1","0.92297","","",""
"TOTENV_2","PUBLISHED","2012","AMR","COL","ENVCAUSE001","6","5.54320","","",""
"TOTENV_2","PUBLISHED","2012","EUR","DEU","ENVCAUSE001","1","0.91051","","",""
"TOTENV_2","PUBLISHED","2012","EMR","DJI","ENVCAUSE001","87","86.57978","","",""
"TOTENV_2","PUBLISHED","2012","WPR","FSM","ENVCAUSE001","29","29.19731","","",""
"TOTENV_2","PUBLISHED","2012","EUR","GRC","ENVCAUSE001","1","0.50596","","",""
"TOTENV_2","PUBLISHED","2012","SEAR","IDN","ENVCAUSE001","25","25.19910","","",""
"TOTENV_2","PUBLISHED","2012","AFR","LSO","ENVCAUSE001","155","155.24665","","",""
"TOTENV_2","PUBLISHED","2012","WPR","MHL","ENVCAUSE001","44","44.17693","","",""
"TOTENV_2","PUBLISHED","2012","EUR","MKD","ENVCAUSE001","2","1.54761","","",""
"TOTENV_2","PUBLISHED","2012","AMR","NIC","ENVCAUSE001","11","10.59607","","",""
"TOTENV_2","PUBLISHED","2012","SEAR","NPL","ENVCAUSE001","41","41.40771","","",""
"TOTENV_2","PUBLISHED","2012","WPR","PHL","ENVCAUSE001","27","27.46613","","",""
"TOTENV_2","PUBLISHED","2012","AMR","PRY","ENVCAUSE001","8","7.74066","","",""
"TOTENV_2","PUBLISHED","2012","EUR","SMR","ENVCAUSE001","0","0.46448","","",""
"TOTENV_2","PUBLISHED","2012","SEAR","THA","ENVCAUSE001","8","8.42745","","",""
"TOTENV_2","PUBLISHED","2012","WPR","VUT","ENVCAUSE001","23","23.20313","","",""
"TOTENV_2","PUBLISHED","2012","EMR","ARE","ENVCAUSE151","10","9.60723","","",""
"TOTENV_2","PUBLISHED","2012","AMR","ARG","ENVCAUSE151","18","18.43600","","",""
"TOTENV_2","PUBLISHED","2012","AFR","BDI","ENVCAUSE151","68","68.11522","","",""
"TOTENV_2","PUBLISHED","2012","EUR","BLR","ENVCAUSE151","34","33.84870","","",""
"TOTENV_2","PUBLISHED","2012","AMR","CAN","ENVCAUSE151","7","7.18409","","",""
"TOTENV_2","PUBLISHED","2012","WPR","COK","ENVCAUSE151","25","24.70614","","",""
"TOTENV_2","PUBLISHED","2012","AMR","COL","ENVCAUSE151","20","19.80150","","",""
"TOTENV_2","PUBLISHED","2012","EUR","DEU","ENVCAUSE151","4","4.35400","","",""
"TOTENV_2","PUBLISHED","2012","EUR","KGZ","ENVCAUSE151","21","20.55631","","",""
"TOTENV_2","PUBLISHED","2012","EMR","MAR","ENVCAUSE151","20","20.33658","","",""
"TOTENV_2","PUBLISHED","2012","WPR","MYS","ENVCAUSE151","27","27.38166","","",""
"TOTENV_2","PUBLISHED","2012","WPR","NIU","ENVCAUSE151","31","30.89058","","",""
"TOTENV_2","PUBLISHED","2012","EUR","NLD","ENVCAUSE151","4","4.34599","","",""
"TOTENV_2","PUBLISHED","2012","WPR","PLW","ENVCAUSE151","29","29.03388","","",""
"TOTENV_2","PUBLISHED","2012","WPR","PNG","ENVCAUSE151","48","48.03979","","",""
"TOTENV_2","PUBLISHED","2012","EUR","SMR","ENVCAUSE151","6","6.17396","","",""
"TOTENV_2","PUBLISHED","2012","SEAR","THA","ENVCAUSE151","30","30.18182","","",""
"TOTENV_2","PUBLISHED","2012","EUR","UKR","ENVCAUSE151","24","23.52454","","",""
"TOTENV_2","PUBLISHED","2012","EMR","ARE","ENVCAUSE060","102","101.85097","","",""
"TOTENV_2","PUBLISHED","2012","AMR","CAN","ENVCAUSE060","35","35.23027","","",""
"TOTENV_2","PUBLISHED","2012","EUR","CHE","ENVCAUSE060","38","37.65824","","",""
"TOTENV_2","PUBLISHED","2012","AFR","CIV","ENVCAUSE060","163","163.30163","","",""
"TOTENV_2","PUBLISHED","2012","EUR","DNK","ENVCAUSE060","47","46.58902","","",""
